#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        94   -2.8367602217e+00    8.1991483346e+00   -6.5192058797e+00    3.6824456579e+00    1.1257034472e+00   -7.6449093268e+00    1.6000000000e+04    6.2574389194e-02    8.7546875000e-01
        95   -2.8357689692e+00    8.1968732749e+00   -6.5485556317e+00    3.7127866625e+00    1.1390288056e+00   -7.6875844373e+00    1.6000000000e+04    6.2300518631e-02    8.7100000000e-01
        96   -2.8210438542e+00    8.1092763067e+00   -6.6076031253e+00    3.7865592712e+00    1.1562284315e+00   -7.7638315568e+00    1.6000000000e+04    6.2007546869e-02    8.7056250000e-01
        97   -2.8470978748e+00    8.2573332960e+00   -6.4815103877e+00    3.6344125129e+00    1.1269412467e+00   -7.6084516344e+00    1.6000000000e+04    6.2060720450e-02    8.7040625000e-01
        98   -2.8261333827e+00    8.1443942350e+00   -6.5745474126e+00    3.7484140299e+00    1.1509809979e+00   -7.7255284105e+00    1.6000000000e+04    6.2248471631e-02    8.6759375000e-01
        99   -2.8375539326e+00    8.2024203950e+00   -6.5087150552e+00    3.6711611226e+00    1.1270944688e+00   -7.6358095239e+00    1.6000000000e+04    6.3478717063e-02    8.7103125000e-01
       100   -2.8230801723e+00    8.1222248362e+00   -6.5926947492e+00    3.7696145769e+00    1.1549717026e+00   -7.7476664518e+00    1.6000000000e+04    6.2069142125e-02    8.6615625000e-01
       101   -2.8512555590e+00    8.2780817012e+00   -6.3270900504e+00    3.4758344914e+00    1.1121866843e+00   -7.4392767347e+00    1.6000000000e+04    6.2390926081e-02    8.7396875000e-01
       102   -2.8352174025e+00    8.1864402932e+00   -6.4437636353e+00    3.6085462328e+00    1.1380962420e+00   -7.5818598773e+00    1.6000000000e+04    6.2738899825e-02    8.7175000000e-01
       103   -2.8316758803e+00    8.1755959749e+00   -6.6846579347e+00    3.8529820544e+00    1.1574534697e+00   -7.8421114045e+00    1.6000000000e+04    6.2787211463e-02    8.7090625000e-01
       104   -2.8267361153e+00    8.1412188795e+00   -6.5747286862e+00    3.7479925709e+00    1.1476740139e+00   -7.7224027001e+00    1.6000000000e+04    6.2668985988e-02    8.6875000000e-01
       105   -2.8326397305e+00    8.1770385897e+00   -6.5076047101e+00    3.6749649796e+00    1.1449717172e+00   -7.6525764273e+00    1.6000000000e+04    6.2579369344e-02    8.6675000000e-01
       106   -2.8472403573e+00    8.2596284384e+00   -6.3700098661e+00    3.5227695089e+00    1.1257780675e+00   -7.4957879337e+00    1.6000000000e+04    6.2582585294e-02    8.7293750000e-01
       107   -2.8327645645e+00    8.1768178498e+00   -6.3871880555e+00    3.5544234910e+00    1.1521416913e+00   -7.5393297469e+00    1.6000000000e+04    6.2302562150e-02    8.7321875000e-01
       108   -2.8412307355e+00    8.2187532819e+00   -6.4723168323e+00    3.6310860967e+00    1.1223793407e+00   -7.5946961730e+00    1.6000000000e+04    6.2318320000e-02    8.7337500000e-01
       109   -2.8236554152e+00    8.1252818041e+00   -6.7218529273e+00    3.8981975121e+00    1.1593753742e+00   -7.8812283016e+00    1.6000000000e+04    6.3332136000e-02    8.6909375000e-01
       110   -2.8225454222e+00    8.1156373208e+00   -6.5611338592e+00    3.7385884369e+00    1.1576184822e+00   -7.7187523413e+00    1.6000000000e+04    6.2665682831e-02    8.6928125000e-01
       111   -2.8116322939e+00    8.0588860720e+00   -6.5572556382e+00    3.7456233444e+00    1.1616501598e+00   -7.7189057981e+00    1.6000000000e+04    6.2735965106e-02    8.6693750000e-01
       112   -2.8505928035e+00    8.2783598936e+00   -6.3407545812e+00    3.4901617778e+00    1.1130903296e+00   -7.4538449109e+00    1.6000000000e+04    6.2075636675e-02    8.7562500000e-01
       113   -2.8239967999e+00    8.1307884092e+00   -6.6136163691e+00    3.7896195692e+00    1.1498402042e+00   -7.7634565732e+00    1.6000000000e+04    6.2272679531e-02    8.6906250000e-01
       114   -2.8469715489e+00    8.2619937490e+00   -6.4206823491e+00    3.5737108003e+00    1.1203541224e+00   -7.5410364716e+00    1.6000000000e+04    6.2502968888e-02    8.7071875000e-01
       115   -2.8218545879e+00    8.1143842598e+00   -6.5294222723e+00    3.7075676845e+00    1.1586956822e+00   -7.6881179545e+00    1.6000000000e+04    6.2043375594e-02    8.7028125000e-01
       116   -2.8518325083e+00    8.2873154418e+00   -6.5846761866e+00    3.7328436783e+00    1.1109604342e+00   -7.6956366208e+00    1.6000000000e+04    6.2316878531e-02    8.6834375000e-01
       117   -2.8353053506e+00    8.1837566462e+00   -6.4859014642e+00    3.6505961137e+00    1.1319176792e+00   -7.6178191434e+00    1.6000000000e+04    6.2177492113e-02    8.7053125000e-01
       118   -2.8366034077e+00    8.2002058613e+00   -6.4622492682e+00    3.6256458605e+00    1.1409758737e+00   -7.6032251419e+00    1.6000000000e+04    6.2202594881e-02    8.6728125000e-01
       119   -2.8376500793e+00    8.2058432108e+00   -6.5176381353e+00    3.6799880560e+00    1.1280109328e+00   -7.6456490681e+00    1.6000000000e+04    6.3031115906e-02    8.6925000000e-01
       120   -2.8366959279e+00    8.2033661487e+00   -6.4723392796e+00    3.6356433516e+00    1.1331032144e+00   -7.6054424940e+00    1.6000000000e+04    6.2164634544e-02    8.7184375000e-01
       121   -2.8286518902e+00    8.1616277151e+00   -6.6412724109e+00    3.8126205207e+00    1.1495540631e+00   -7.7908264739e+00    1.6000000000e+04    6.2494263681e-02    8.6581250000e-01
       122   -2.8379328024e+00    8.2107642752e+00   -6.5640208100e+00    3.7260880076e+00    1.1307655569e+00   -7.6947863669e+00    1.6000000000e+04    6.2491256981e-02    8.6675000000e-01
       123   -2.8437340421e+00    8.2391160364e+00   -6.4426697716e+00    3.5989357295e+00    1.1369673969e+00   -7.5796371685e+00    1.6000000000e+04    6.1982458563e-02    8.7075000000e-01
       124   -2.8407798820e+00    8.2267043957e+00   -6.5478025824e+00    3.7070227004e+00    1.1166362435e+00   -7.6644388259e+00    1.6000000000e+04    6.2313718169e-02    8.6778125000e-01
       125   -2.8434696558e+00    8.2390885735e+00   -6.4534818806e+00    3.6100122248e+00    1.1259039691e+00   -7.5793858497e+00    1.6000000000e+04    6.2349415338e-02    8.7109375000e-01
       126   -2.8294264348e+00    8.1552312276e+00   -6.4695693624e+00    3.6401429276e+00    1.1452875665e+00   -7.6148569289e+00    1.6000000000e+04    6.2028606675e-02    8.7118750000e-01
       127   -2.8379855600e+00    8.2051420373e+00   -6.5644327110e+00    3.7264471510e+00    1.1188937374e+00   -7.6833264484e+00    1.6000000000e+04    6.2690230806e-02    8.7025000000e-01
       128   -2.8449244974e+00    8.2438053750e+00   -6.5241610417e+00    3.6792365442e+00    1.1147034945e+00   -7.6388645362e+00    1.6000000000e+04    6.2326221063e-02    8.6971875000e-01
       129   -2.8402995752e+00    8.2253658906e+00   -6.4758356984e+00    3.6355361232e+00    1.1367918729e+00   -7.6126275712e+00    1.6000000000e+04    6.2755687813e-02    8.7037500000e-01
       130   -2.8482942376e+00    8.2628987801e+00   -6.3601664209e+00    3.5118721832e+00    1.1202685598e+00   -7.4804349806e+00    1.6000000000e+04    6.2559897294e-02    8.7406250000e-01
       131   -2.8437245034e+00    8.2453004549e+00   -6.4284263289e+00    3.5847018255e+00    1.1305624341e+00   -7.5589887630e+00    1.6000000000e+04    6.2720135400e-02    8.7225000000e-01
       132   -2.8356519917e+00    8.1928604443e+00   -6.6754097035e+00    3.8397577118e+00    1.1424196945e+00   -7.8178293980e+00    1.6000000000e+04    6.2426697356e-02    8.7031250000e-01
       133   -2.8238244737e+00    8.1194144878e+00   -6.3986681025e+00    3.5748436288e+00    1.1414522836e+00   -7.5401203862e+00    1.6000000000e+04    6.1940666656e-02    8.7121875000e-01
       134   -2.8297835899e+00    8.1624764633e+00   -6.6200411181e+00    3.7902575282e+00    1.1426325447e+00   -7.7626736628e+00    1.6000000000e+04    6.2719244763e-02    8.6996875000e-01
