#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            IonIon              ElecElec            BlockWeight         BlockCPU            AcceptRatio         
       115   -8.5523193452e+00    7.3307710781e+01   -1.6069224147e+01    7.5169048015e+00   -1.1790988872e+01   -3.6892268292e+00   -5.8900844505e-01    1.0225100000e+05    2.4716754412e-01    9.9719766695e-01
       116   -8.5481420647e+00    7.3212692639e+01   -1.5977755470e+01    7.4296134054e+00   -1.1695110692e+01   -3.6892268292e+00   -5.9341794845e-01    1.0235900000e+05    2.4318701844e-01    9.9708388016e-01
       117   -8.5483005587e+00    7.3216627465e+01   -1.6026876202e+01    7.4785756433e+00   -1.1751151626e+01   -3.6892268292e+00   -5.8649774652e-01    1.0239400000e+05    2.4089332731e-01    9.9722125544e-01
       118   -8.5492568824e+00    7.3235740891e+01   -1.6161423281e+01    7.6121663986e+00   -1.1907405057e+01   -3.6892268292e+00   -5.6479139434e-01    1.0244300000e+05    2.4601143238e-01    9.9711032587e-01
       119   -8.5544599925e+00    7.3326114148e+01   -1.6193648112e+01    7.6391881191e+00   -1.1947623602e+01   -3.6892268292e+00   -5.5679768069e-01    1.0237900000e+05    2.4301258269e-01    9.9712370990e-01
       120   -8.5558082858e+00    7.3346203733e+01   -1.6174731731e+01    7.6189234455e+00   -1.1918933299e+01   -3.6892268292e+00   -5.6657160337e-01    1.0233500000e+05    2.4188543931e-01    9.9705864525e-01
       121   -8.5518449488e+00    7.3277178927e+01   -1.6180483490e+01    7.6286385411e+00   -1.1917541252e+01   -3.6892268292e+00   -5.7371540837e-01    1.0243800000e+05    2.4342262181e-01    9.9707852770e-01
       122   -8.5517464622e+00    7.3278091908e+01   -1.6194742921e+01    7.6429964590e+00   -1.1939459342e+01   -3.6892268292e+00   -5.6605675024e-01    1.0242700000e+05    2.4018543994e-01    9.9705668225e-01
       123   -8.5469612795e+00    7.3193205996e+01   -1.6205556159e+01    7.6585948793e+00   -1.1934622478e+01   -3.6892268292e+00   -5.8170685150e-01    1.0238200000e+05    2.4552651181e-01    9.9704765889e-01
       124   -8.5468696509e+00    7.3192143016e+01   -1.6193341946e+01    7.6464722952e+00   -1.1920469215e+01   -3.6892268292e+00   -5.8364590228e-01    1.0231400000e+05    2.4662462931e-01    9.9705606959e-01
